Fecha,Caudal,Caudal_log,Caudal_log1p,Caudal_log_diff,Caudal_diff,Mes,Mes_nombre,Trimestre,Trimestre_label,Año,Epoca
2014-05-05,3.954,1.600195331067168,1.600195331067168,0.02204170867283395,0.1080000000000001,5,May,2,Q2,2014,Lluviosa
2014-05-06,3.796,1.5677822371652677,1.5677822371652677,-0.03241309390190028,-0.15800000000000036,5,May,2,Q2,2014,Lluviosa
2014-05-07,3.882,1.5855549719707684,1.5855549719707684,0.01777273480550079,0.0860000000000003,5,May,2,Q2,2014,Lluviosa
2014-05-08,4.046,1.618595850218866,1.618595850218866,0.03304087824809754,0.16400000000000015,5,May,2,Q2,2014,Lluviosa
2014-05-09,4.344,1.6759744362343447,1.6759744362343447,0.05737858601547874,0.29800000000000004,5,May,2,Q2,2014,Lluviosa
2014-05-10,4.901,1.7751218280750316,1.7751218280750316,0.09914739184068688,0.5569999999999995,5,May,2,Q2,2014,Lluviosa
2014-05-11,6.591,2.026963335034631,2.026963335034631,0.2518415069595994,1.6900000000000004,5,May,2,Q2,2014,Lluviosa
2014-05-12,4.816,1.7606127402312182,1.7606127402312182,-0.26635059480341283,-1.7750000000000004,5,May,2,Q2,2014,Lluviosa
2014-05-13,4.25,1.6582280766035324,1.6582280766035324,-0.10238466362768572,-0.5659999999999998,5,May,2,Q2,2014,Lluviosa
2014-05-14,4.127,1.6345206928015634,1.6345206928015634,-0.023707383801969018,-0.12300000000000022,5,May,2,Q2,2014,Lluviosa
2014-05-15,4.143,1.637636566792779,1.637636566792779,0.003115873991215601,0.016000000000000014,5,May,2,Q2,2014,Lluviosa
2014-05-16,4.143,1.637636566792779,1.637636566792779,0.0,0.0,5,May,2,Q2,2014,Lluviosa
2014-05-17,4.034,1.616214896713124,1.616214896713124,-0.02142167007965501,-0.10899999999999999,5,May,2,Q2,2014,Lluviosa
2014-05-18,4.338,1.6748510509823324,1.6748510509823324,0.05863615426920843,0.30400000000000027,5,May,2,Q2,2014,Lluviosa
2014-05-19,5.407,1.8573911426568843,1.8573911426568845,0.1825400916745521,1.069,5,May,2,Q2,2014,Lluviosa
2014-05-20,4.531,1.710368631012541,1.710368631012541,-0.14702251164434355,-0.8760000000000003,5,May,2,Q2,2014,Lluviosa
2014-05-21,4.304,1.6684612528835614,1.6684612528835614,-0.0419073781289796,-0.22699999999999942,5,May,2,Q2,2014,Lluviosa
2014-05-22,6.462,2.0098234747989663,2.0098234747989663,0.3413622219154049,2.1579999999999995,5,May,2,Q2,2014,Lluviosa
2014-05-23,4.599,1.7225880103667564,1.7225880103667564,-0.28723546443220993,-1.8629999999999995,5,May,2,Q2,2014,Lluviosa
2014-05-24,4.228,1.6540287957619757,1.6540287957619755,-0.06855921460478087,-0.37100000000000044,5,May,2,Q2,2014,Lluviosa
2014-05-25,4.134,1.6358850824489488,1.6358850824489488,-0.018143713313026666,-0.09399999999999942,5,May,2,Q2,2014,Lluviosa
2014-05-26,4.091,1.627474274920199,1.627474274920199,-0.008410807528749897,-0.04300000000000015,5,May,2,Q2,2014,Lluviosa
2014-05-27,5.291,1.8391200405878927,1.8391200405878927,0.21164576566769377,1.2000000000000002,5,May,2,Q2,2014,Lluviosa
2014-05-28,4.214,1.65134731551131,1.65134731551131,-0.1877727250765826,-1.077,5,May,2,Q2,2014,Lluviosa
